datasetid,recordid,nom_parking,company,adresse,ville,code_postal,geo,gares_id,24/24,time_opening,time_closing,prix_jour,prix_semaine,camera,handicape,hauteur_maximum,nombre_de_places
parking,73,Parking Meaux Nord,Effia,Avenue de la Gare,Meaux,77100,"48.957780768, 2.87417996855",529,TRUE,0.00,0.00,10.10,,TRUE,TRUE,1.9,120
parking,108,Parking Meaux Nord,Effia,1B Rue de Venise,Meaux,77100,"48.9547605047, 2.87308767362
",529,TRUE,0.00,0.00,10.00,,TRUE,TRUE,1.9,200
parking,65,Parc Relais Val d'Europe - Serris Montévrain,Saemes,77 rue de la Charbonnière,Montévrain,77144,"48.85378, 2.7689",70,TRUE,0.00,0.00,5.4,27.2,TRUE,TRUE,1.9,722
parking,84,Parking Montigny-le-Bretonneux Bièvre - SQY Ouest,"Q-Park
",7 Avenue des Prés,Montigny-le-Bretonneux,78180,"48.777540, 2.018590","938, 835",TRUE,0.00,0.00,7.8,,TRUE,TRUE,1.9,617
parking,90,"Parking Montigny-le-Bretonneux Jean Bertin

",Q-Park,Avenue de Lunca,Montigny-le-Bretonneux,78180,"48.789028216, 2.04529883263","938, 835",FALSE,6.30,21.00,8.80,,TRUE,TRUE,1.9,510
parking,122,Parking Espace Saint Quentin,Indigo, Espace St Quentin,Montigny-le-Bretonneux,78885,"48.783920,2.043130",938.835,TRUE,0.00,0.00,,,TRUE,TRUE,1.9,1918
parking,94,Parking Prague,SAEMES,77 Rue de la Charbonnire ,Montvrain,77144,"48.8537095024, 2.76908545179",70,FALSE,5.30,1.30,12.00,,TRUE,TRUE,1.9,650
parking,117,"Parking Mormant
","Effia
","Rue Maurice Martin

",Mormant,77720,"48.61411342, 2.88739326608",p,TRUE,0.00,0.00,,,,,,
parking,127,Parking Parking des Arcades,Indigo,4 Avenue de Lattre de Tassigny,Nogent-sur-Marne,94130,"42.875370,2.176350",594,TRUE,0.00,0.00,-,,FALSE,FALSE,1.8,109
parking,126,Parking Indigo Baltard,Indigo,5B Avenue Watteau,"Nogent-sur-Marne
",94130,"48.832770,2.472030",594,TRUE,0.00,0.00,21.20,,TRUE,TRUE,1.9,291
parking,88,"Parking Noisy Champs
",Indigo, Centre commercial du CHAMPY ,Noisy-le-Grand,93160,"48.8431075808, 2.57867087148",597,TRUE,0.00,0.00,9.20,,TRUE,TRUE,1.9,318
parking,104,"Parking Noisy-le-Grand Mont d'Est
",Indigo,8 Boulevard du Mont d'Est,"Noisy-le-Grand
",93160,"48.8401457, 2.5454603",597,TRUE,0.00,0.00,9.40,,TRUE,TRUE,1.85,634
parking,78,Parking Noisy-le-Sec,Effia,,Noisy-le-Sec,,"48.8962060652, 2.45886357961",e,TRUE,0.00,0.00,,,,,,
parking,102,"Parking Orgerus Bhoust
",Ville,Rue du clos aux biches,Orgerus,78910,"48.8264179268, 1.70198839406
",610,TRUE,0.00,0.00,8.50,,FALSE,TRUE,1.8,370
parking,1,Parking Pyramides,Saemes,15 rue des pyramides,Paris,75001,"48.864994,2.33298",574,true,0.00,0.00,37.8,160,true,true,1.9,659
parking,2,Parking Lagrange-Maubert,Saemes,19 rue Lagrange,Paris,75005,"48.850541,2.348671",235,true,0.00,0.00,37.8,147,true,false,1.85,477
parking,3,Parking Maubert Collège des Bernardins,Saemes,37 boulevard St Germain,Paris,75005,"48.849577,2.350867",361.684,true,0.00,0.00,37.8,135,false,true,1.85,655
parking,4,Parking Quai branly-Tour Eiffel,Saemes,25 Quai Branly,Paris,75007,"48.861935,2.298733",141,true,0.00,0.00,29.4,129,false,true,1.9,543
parking,5,Parking Les Halles-St Eustache,Saemes,22 rue des Halles,Paris,75001,"48.860212,2.346654","163,170,164",true,0.00,0.00,36.90,128.00,true,false,1.85,375
parking,6,Parking Notre Dame,Saemes,Place du parvis Notre Dame,Paris,75004,"48.854055,2.347417",828.827,true,0.00,0.00,37.80,107.00,true,false,1.9,279
parking,7,Parking Rivoli-Sébastopol,Saemes,6 Quai de Gesvres,Paris,75004,"48.858396,2.350484","163,170,164",true,0.00,0.00,37.80,107.00,true,true,1.9,297
parking,8,Parking Hôtel de Ville,Saemes,5 rue Pernelle,Paris,75004,"48.858396,2.350484",361.684,true,0.00,0.00,38.70,117.00,true,true,1.85,505
parking,9,Parking Gay Lussac,Saemes,Face au 45 rue Gay Lussac,Paris,75005,"48.84216,2.343078",310.309,true,0.00,0.00,38.20,,false,false,1.95,105
parking,10,Parking Polytechnique,Saemes,rue Jacques Henri Lartigue,Paris,75005,"48.847013, 2.351095","828,827,488,38",true,0.00,0.00,34.50,,FALSE,FALSE,1.90,259
parking,11,Parking Monge,Saemes,17 rue Gracieuse,Paris,75005,"48.84255, 2.35149",484.38,true,0.00,0.00,35.20,,FALSE,TRUE,1.9,371
parking,12,Parking Maubert Collège des Bernardins,Saemes,37 boulevard St Germain,Paris,75005,"48.849577, 2.350867",361.684,true,0.00,0.00,37.80,137.00,vrai,TRUE,1.85,655
parking,13,Parking Poliveau,Saemes,39 bis rue Poliveau,Paris,75005,"48.8399, 2.35762",38,true,0.00,0.00,37.80,,FALSE,FALSE,1.9,57
parking,14,Parking Marché Saint Germain,Saemes,Face au 1 Rue Lobineau,Paris,75006,"48.85166, 2.33611","828,827,484",true,0.00,0.00,37.90,,FALSE,faux,1.9,104
parking,15,Parking André Honnorat,Saemes,9 rue Auguste Comte,Paris,75006,"48.84429, 2.33585",484,true,0.00,0.00,38.20,,FALSE,faux,1.9,329
parking,16,Parking Ecole de Médecine,Saemes,21 rue Ecole de Médecine,Paris,75006,"48.850912, 2.341171",828.827,true,0.00,0.00,37.80,168.00,vrai,vrai,1.9,303
parking,17,Parking Champagny,Saemes,Face au 13 rue Casimir Perrier,Paris,75007,"48.85788, 2.31849",574.361,true,0.00,0.00,39.90,,FALSE,faux,1.9,112
parking,18,Parking Haussmann Berri,Saemes,Face au 155 boulevard Haussmann,Paris,75008,"48.875263, 2.309631",151,true,0.00,0.00,36.90,170.00,TRUE,FALSE,1.9,2182
parking,19,Parking Rond Point des Champs Elysées,Saemes,"face au 3, Avenue Matignon",Paris,75008,"48.86939, 2.31101",361.684,true,0.00,0.00,34.40,,TRUE,FALSE,1.9,331
parking,20,Parking Anvers,Saemes,41 boulevard Marguerite-de-Rochechouart,Paris,75009,"48.882697, 2.344013",484,true,0.00,0.00,35.10,164.00,TRUE,TRUE,1.9,528
parking,21,Parking Mayran,Saemes,5 rue Mayran,Paris,75009,"48.877146, 2.345712","484, 1016",true,0.00,0.00,38.30,,TRUE,TRUE,1.9,80
parking,22,Parking Milton,Saemes,35 rue Milton,Paris,75009,"48.87926, 2.34258
",484.1016,true,0.00,0.00,36.80,,FALSE,FALSE,1.9,99
parking,23,Parking Meyerbeer Opéra,Saemes,3 rue de la Chaussée d'Antin,Paris,75009,"48.871505, 2.333759",1016.32,true,0.00,0.00,35.10,149.00,TRUE,TRUE,1.9,589
parking,24,Parking Hôpital Saint Louis,Saemes,1 avenue Claude Vellefaux,Paris,75010,"48.873379, 2.369972",305,true,0.00,0.00,19.80,89.00,TRUE,TRUE,1.75,478
parking,25,Parking Récollets,Saemes,3 passage des Récollets,Paris,75010,"48.87427, 2.35877
",305,true,0.00,0.00,32.40,,TRUE,TRUE,2,97
parking,26,Parking René Boulanger,Saemes,1 ter rue René Boulanger,Paris,75010,"48.86836, 2.36174",305,true,0.00,0.00,36.40,,TRUE,FALSE,1.8,191
