datasetid,recordid,nom_parking,company,adresse,ville,code_postal,geo,gares_id,24/24,time_opening,time_closing,prix_jour,prix_semaine,camera,handicape,hauteur_maximum,nombre_de_places
parking,151,Parking R. Pion,Ville,"1 Rue René Pion,",Triel-sur-Seine,78510,"48.979950, 2.004330",859,TRUE,0.00,0.00,0,,FALSE,FALSE,100,55
parking,152,Zenpark - Parking Andrésy - Gare de Maurecourt,Ville,58 Avenue des Robaresses,Andrésy,78570,"48.990630, 2.058160",527,TRUE,0.00,0.00,10.50,,FALSE,FALSE,1.9,60
parking,153,Parking Jean Jaures,Ville,"Rue Jean Jaurès,",Ermont,95120,"48.982550, 2.259860",265,TRUE,0.00,0.00,10.70,,FALSE,TRUE,100,86
parking,154,Parking Hippodrome D'Enghien Soisy,Ville,1 Place André Foulon,Soisy-sous-Montmorency,95230,"48.980100, 2.292200",782,TRUE,0.00,0.00,12.20,,FALSE,TRUE,1.9,36
parking,155,Parking Centre commercial l'Ilo,Indigo,5 avenue de Lattre de Tassigny ,Épinay-sur-Seine,93800,"48.958340, 2.308520",258,TRUE,0.00,0.00,20.00,,TRUE,TRUE,1.9,830
parking,156,Parking de la Gare Orry-la-Ville,Ville,Place de la Gare,Orry-la-ville,60560,"49.138800, 2.490400",957,TRUE,0.00,0.00,8.50,,FALSE,TRUE,1.9,120
parking,157,Parking gare d'Arnouville,Ville,24 Avenue Jean Laugere,Arnouville,95400,"48.995250, 2.417650",909,TRUE,0.00,0.00,12.00,,TRUE,TRUE,1.9,90
parking,158,Parking,Ville,"Boulevard Salvador Allende,",Sarcelles,95200,"48.978960, 2.393280",322,TRUE,0.00,0.00,0,,FALSE,TRUE,1.9,240
parking,159,Yespark,Ville,2 Place de la Fraternité,Mitry-Mory,77290,"48.977770, 2.624200",551,TRUE,0.00,0.00,9.50,,FALSE,FALSE,1.9,95
parking,160,Parking Gare,Ville,Place de la Gare,Sevran,93270,"48.935750, 2.534620",796,TRUE,0.00,0.00,0,,FALSE,TRUE,1.9,240
parking,161,Onepark,,54 Avenue des Nations,Roissy-en-France,93420,"48.989700, 2.517770",621,TRUE,0.00,0.00,0,,FALSE,TRUE,100,80
